%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1489621349449503333,144,1489621349449408041,fcu,-6.42831468582,13.7302236557,2.0028116703,0.00634236077801,-0.0220285742445,-0.705820038675,-0.708020189953
1489621349715344943,145,1489621349715256833,fcu,-6.39755392075,13.8316259384,2.00272846222,0.0079319578759,-0.0235141211815,-0.70567846767,-0.708097500643
1489621349949875388,146,1489621349949793757,fcu,-6.36504840851,13.9342355728,2.00300526619,0.00287231529261,-0.0149362177394,-0.705760163137,-0.708287548481
1489621350183920000,147,1489621350183821837,fcu,-6.33378171921,14.0305109024,2.00330781937,0.000253774552507,-0.00968900133055,-0.705905678741,-0.708239529801
1489621350415713132,148,1489621350415627635,fcu,-6.30474328995,14.1173677444,2.0034558773,-0.00340064094589,-0.00575595691958,-0.706040330542,-0.708140068242
1489621350649322909,149,1489621350649248721,fcu,-6.27721738815,14.1905622482,2.00362062454,-0.00757453412383,-0.00135015717401,-0.706149428068,-0.708021036939
1489621350916632762,150,1489621350916538014,fcu,-6.24743366241,14.2552566528,2.00363659859,-0.00624248706968,-0.00500361656015,-0.70623043995,-0.707936833951
1489621351149663711,151,1489621351149554809,fcu,-6.21040391922,14.3203859329,2.00364542007,-0.00275887852298,-0.0147402625404,-0.706142278778,-0.707911149348
1489621351383324518,152,1489621351383225153,fcu,-6.16509580612,14.385761261,2.00363492966,-0.00548840207028,-0.0154604652945,-0.705934374819,-0.708087219137
1489621351616327970,153,1489621351616227917,fcu,-6.11161565781,14.443816185,2.00357913971,-0.0129676612571,-0.0113644147769,-0.705789241834,-0.708211999298
1489621351849318634,154,1489621351849235817,fcu,-6.04735279083,14.4907808304,2.00320792198,-0.0199042960396,-0.0102828963331,-0.705784827355,-0.708071930328
1489621352116265933,155,1489621352116137917,fcu,-5.97016572952,14.5278654099,2.00332522392,-0.0219954170284,-0.0120382646314,-0.705967360013,-0.707800373276
1489621352349825936,156,1489621352349703614,fcu,-5.8877863884,14.5656986237,2.00329256058,-0.0111198025902,-0.0142076624529,-0.706244072108,-0.707738513104
1489621352583124282,157,1489621352583034839,fcu,-5.8089761734,14.6187543869,2.00320720673,0.00452863927297,-0.0188772020441,-0.706184574344,-0.707761605082
1489621352815507035,158,1489621352815425610,fcu,-5.7397146225,14.6995182037,2.00314259529,0.01768942418,-0.0241215747236,-0.705787356381,-0.707791947876
1489621353049576852,159,1489621353049480738,fcu,-5.67653751373,14.8067026138,2.00304818153,0.0174056184784,-0.0275525998448,-0.705390261558,-0.708069542903
1489621353317047753,160,1489621353316951404,fcu,-5.61405849457,14.9285135269,2.00309276581,0.0101896505645,-0.0279059844066,-0.705231748409,-0.708354154425
